People Media Colombia Country > Region > City Report -- Geo 25-1-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 2/24/2020 to 2/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Date,Campaign ID,Campaign Name,Start Date,End Date,Country,Region,City,Imps. Won,Clicks,CTR,Total eCPM,Total eCPC,Total eCPA,CTC,VTC,Total Conversions,Click CVR,View CVR,Total CVRM,CTC Revenue,VTC Revenue,Total Revenue,Media Spend,Data Spend,Total Spend,Audio/Video Starts,25% Complete,50% Complete,75% Complete,100% Complete,Completion Rate,eCPCV,Companion Imps. Won,Companion Clicks,Companion CTC,Companion CTC Revenue
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Alejandria,2,0,0.00%,$0.27 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Amaga,2,0,0.00%,$0.22 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Amalfi,9,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Andes,2,0,0.00%,$0.26 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Apartado,26,0,0.00%,$0.23 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,1,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Armenia,22,0,0.00%,$0.27 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,1,1,1,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Barbosa,23,0,0.00%,$0.27 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Barrios Unidos,31,0,0.00%,$0.24 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,3,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Barrios de Jesus,11,0,0.00%,$0.19 ,$0.00 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0,0,0,0,0.00%,-,0,0,0,$0.00 
2/24/20,10,EN49_CPM_ALPINA_FINESSE_APPVERIFY_TRADICIONALES_EN2020,1/1/20,3/31/20,Colombia,Antioquia,Bello,53,1,1.89%,$0.24 ,$0.01 ,$0.00 ,0,0,0,0.00%,0.00%,0.00%,$0.00 ,$0.00 ,$0.00 ,$0.01 ,$0.00 ,$0.01 ,1,1,1,1,1,100.00%,$0.01 ,0,0,0,$0.00 
